source_file,timestamp,person_index,face_yaw,face_pitch,face_box_top,face_box_left
Measureyes_0924_01_response_0001.json,458,1,,,,
Measureyes_0924_01_response_0001.json,458,2,,,,
Measureyes_0924_01_response_0001.json,458,5,,,,
Measureyes_0924_01_response_0001.json,458,6,,,,
Measureyes_0924_01_response_0001.json,458,8,,,,
Measureyes_0924_01_response_0001.json,458,12,,,,
Measureyes_0924_01_response_0001.json,500,8,,,,
Measureyes_0924_01_response_0001.json,500,6,,,,
Measureyes_0924_01_response_0001.json,500,12,,,,
Measureyes_0924_01_response_0001.json,500,2,,,,
Measureyes_0924_01_response_0001.json,500,1,,,,
Measureyes_0924_01_response_0001.json,500,5,,,,
Measureyes_0924_01_response_0001.json,583,1,,,,
Measureyes_0924_01_response_0001.json,583,2,,,,
Measureyes_0924_01_response_0001.json,583,6,,,,
Measureyes_0924_01_response_0001.json,583,8,,,,
Measureyes_0924_01_response_0001.json,583,10,,,,
Measureyes_0924_01_response_0001.json,583,12,,,,
Measureyes_0924_01_response_0001.json,625,12,,,,
Measureyes_0924_01_response_0001.json,625,10,,,,
Measureyes_0924_01_response_0001.json,625,8,,,,
Measureyes_0924_01_response_0001.json,625,1,,,,
Measureyes_0924_01_response_0001.json,625,5,,,,
Measureyes_0924_01_response_0001.json,625,2,,,,
Measureyes_0924_01_response_0001.json,625,6,,,,
Measureyes_0924_01_response_0001.json,709,10,,,,
Measureyes_0924_01_response_0001.json,709,12,,,,
Measureyes_0924_01_response_0001.json,709,8,,,,
Measureyes_0924_01_response_0001.json,709,6,,,,
Measureyes_0924_01_response_0001.json,709,5,,,,
Measureyes_0924_01_response_0001.json,709,1,,,,
Measureyes_0924_01_response_0001.json,709,7,,,,
Measureyes_0924_01_response_0001.json,792,1,,,,
Measureyes_0924_01_response_0001.json,792,5,,,,
Measureyes_0924_01_response_0001.json,792,6,,,,
Measureyes_0924_01_response_0001.json,792,8,,,,
Measureyes_0924_01_response_0001.json,792,9,,,,
Measureyes_0924_01_response_0001.json,792,10,,,,
Measureyes_0924_01_response_0001.json,792,12,,,,
Measureyes_0924_01_response_0001.json,792,13,,,,
Measureyes_0924_01_response_0001.json,834,8,,,,
Measureyes_0924_01_response_0001.json,834,13,,,,
Measureyes_0924_01_response_0001.json,834,12,,,,
Measureyes_0924_01_response_0001.json,834,10,,,,
Measureyes_0924_01_response_0001.json,834,6,,,,
Measureyes_0924_01_response_0001.json,834,5,,,,
Measureyes_0924_01_response_0001.json,834,1,,,,
Measureyes_0924_01_response_0001.json,834,9,,,,
Measureyes_0924_01_response_0001.json,917,13,,,,
Measureyes_0924_01_response_0001.json,917,1,,,,
Measureyes_0924_01_response_0001.json,917,5,,,,
Measureyes_0924_01_response_0001.json,917,8,,,,
Measureyes_0924_01_response_0001.json,917,9,,,,
Measureyes_0924_01_response_0001.json,917,10,,,,
Measureyes_0924_01_response_0001.json,917,12,,,,
Measureyes_0924_01_response_0001.json,959,13,,,,
Measureyes_0924_01_response_0001.json,959,12,,,,
Measureyes_0924_01_response_0001.json,959,14,,,,
Measureyes_0924_01_response_0001.json,959,10,,,,
Measureyes_0924_01_response_0001.json,959,5,,,,
Measureyes_0924_01_response_0001.json,959,8,,,,
Measureyes_0924_01_response_0001.json,959,9,,,,
Measureyes_0924_01_response_0001.json,959,1,,,,
Measureyes_0924_01_response_0001.json,1042,15,,,,
Measureyes_0924_01_response_0001.json,1042,14,,,,
Measureyes_0924_01_response_0001.json,1042,12,,,,
Measureyes_0924_01_response_0001.json,1042,10,,,,
Measureyes_0924_01_response_0001.json,1042,16,,,,
Measureyes_0924_01_response_0001.json,1042,8,,,,
Measureyes_0924_01_response_0001.json,1042,7,,,,
Measureyes_0924_01_response_0001.json,1042,5,,,,
Measureyes_0924_01_response_0001.json,1042,1,,,,
Measureyes_0924_01_response_0001.json,1042,9,,,,
Measureyes_0924_01_response_0001.json,1126,16,,,,
Measureyes_0924_01_response_0001.json,1126,15,,,,
Measureyes_0924_01_response_0001.json,1126,14,,,,
Measureyes_0924_01_response_0001.json,1126,13,,,,
Measureyes_0924_01_response_0001.json,1126,9,,,,
Measureyes_0924_01_response_0001.json,1126,8,,,,
Measureyes_0924_01_response_0001.json,1126,5,,,,
Measureyes_0924_01_response_0001.json,1126,1,,,,
Measureyes_0924_01_response_0001.json,1126,12,,,,
Measureyes_0924_01_response_0001.json,1167,13,,,,
Measureyes_0924_01_response_0001.json,1167,16,,,,
Measureyes_0924_01_response_0001.json,1167,14,,,,
Measureyes_0924_01_response_0001.json,1167,9,,,,
Measureyes_0924_01_response_0001.json,1167,15,,,,
Measureyes_0924_01_response_0001.json,1167,5,,,,
